,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
57,Design Cafe,"Bengaluru, Karnataka, India","Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Undisclosed,29239766.0,Series B,2018
58,NoPaperForms Solutions Pvt. Ltd.,"New Delhi, Delhi, India","EdTech, Education, Information Services, SaaS","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Undisclosed,3980000.0,Series B,2018
59,Rays Power Infra,"Jaipur, Rajasthan, India","Energy, Solar",Rays Power Infra is a leading integrated Solar Power Company.,Undisclosed,29239766.0,Venture - Series Unknown,2018
60,AuthMetrik,"Gurgaon, Haryana, India","B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","SaaS, B2B, Security, Stop account sharing, Fraud Detection",Undisclosed,10000.0,Grant,2018
61,Khidki,"Bangalore, Karnataka, India","Artificial Intelligence, Social",Vernacular Social Network Focused on Town Level Content and Interactions,Undisclosed,1140351.0,Seed,2018
62,LetsTransport,"Bangalore, Karnataka, India","Logistics, Transportation, Travel",Lets transport is a logistics solution provider.,Undisclosed,14619883.0,Series B,2018
63,Next Digital Solutions,"Kota, Rajasthan, India","Digital Marketing, SEM, SEO, Web Development",Next Digital Solutions is website design & Digital Marketing development company.,Undisclosed,1462.0,Angel,2018
64,Portea Medical,"Bangalore, Karnataka, India","Health Care, Hospital, Medical",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,Undisclosed,3654971.0,Debt Financing,2018
65,Aavas Financiers,"Jaipur, Rajasthan, India","Finance, Financial Services","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",Undisclosed,29239766.0,Post-IPO Debt,2018
66,Swiggy,"Bangalore, Karnataka, India","Food Delivery, Food Processing, Internet",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,Undisclosed,1000000000.0,Series H,2018
67,Milkbasket,"Haryana, Haryana, India","E-Commerce, Food and Beverage, Internet","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",Undisclosed,7000000.0,Series A,2018
68,Nutrisattva (Proliva),"Anand, Gujarat, India","Fitness, Food and Beverage, Health Care, Nutrition",Nutrisattva is a protein innovation compan,Undisclosed,1140351.0,Angel,2018
